Name of the president,Date of the union address,Link to Address,Filename_AddressText
William J. Clinton,January-25-1994,http://www.infoplease.com/t/hist/state-of-the-union/207.html,C:\Users\Sri Vishnu theja\Parse\207.txt
William J. Clinton,January-24-1995,http://www.infoplease.com/t/hist/state-of-the-union/208.html,C:\Users\Sri Vishnu theja\Parse\208.txt
William J. Clinton,January-23-1996,http://www.infoplease.com/t/hist/state-of-the-union/209.html,C:\Users\Sri Vishnu theja\Parse\209.txt
William J. Clinton,February-4-1997,http://www.infoplease.com/t/hist/state-of-the-union/210.html,C:\Users\Sri Vishnu theja\Parse\210.txt
William J. Clinton,January-27-1998,http://www.infoplease.com/t/hist/state-of-the-union/211.html,C:\Users\Sri Vishnu theja\Parse\211.txt
William J. Clinton,January-19-1999,http://www.infoplease.com/t/hist/state-of-the-union/212.html,C:\Users\Sri Vishnu theja\Parse\212.txt
William J. Clinton,January-27-2000,http://www.infoplease.com/t/hist/state-of-the-union/213.html,C:\Users\Sri Vishnu theja\Parse\213.txt
George W. Bush,February-27-2001,http://www.infoplease.com/t/hist/state-of-the-union/214.html,C:\Users\Sri Vishnu theja\Parse\214.txt
George W. Bush,January-29-2002,http://www.infoplease.com/t/hist/state-of-the-union/215.html,C:\Users\Sri Vishnu theja\Parse\215.txt
George W. Bush,January-28th-2003,http://www.infoplease.com/t/hist/state-of-the-union/216.html,C:\Users\Sri Vishnu theja\Parse\216.txt
George W. Bush,January-20th-2004,http://www.infoplease.com/t/hist/state-of-the-union/217.html,C:\Users\Sri Vishnu theja\Parse\217.txt
George W. Bush,February-2nd-2005,http://www.infoplease.com/t/hist/state-of-the-union/218.html,C:\Users\Sri Vishnu theja\Parse\218.txt
George W. BushOpening Remarks,January-31st-2006,http://www.infoplease.com/t/hist/state-of-the-union/219.html,C:\Users\Sri Vishnu theja\Parse\219.txt
George W. BushOpening Remarks,January-31st-2006,http://www.infoplease.com/t/hist/state-of-the-union/219.html#idp29804336,C:\Users\Sri Vishnu theja\Parse\219.txt
Military Sacrifices,,http://www.infoplease.com/t/hist/state-of-the-union/219s02.html,C:\Users\Sri Vishnu theja\Parse\219s02.txt
Economic Agenda,,http://www.infoplease.com/t/hist/state-of-the-union/219s03.html,C:\Users\Sri Vishnu theja\Parse\219s03.txt
A Hopeful Society,,http://www.infoplease.com/t/hist/state-of-the-union/219s04.html,C:\Users\Sri Vishnu theja\Parse\219s04.txt
George W. Bush,January-23rd-2007,http://www.infoplease.com/t/hist/state-of-the-union/220.html,C:\Users\Sri Vishnu theja\Parse\220.txt
George W. Bush,January-28th-2008,http://www.infoplease.com/t/hist/state-of-the-union/221.html,C:\Users\Sri Vishnu theja\Parse\221.txt
Name of the president,Date of the union address,Link to Address,Filename_AddressText
George Washington,January-8-1790,http://www.infoplease.com/t/hist/state-of-the-union/1.html,C:\Users\Sri Vishnu theja\Parse\1.txt
George Washington,December-8-1790,http://www.infoplease.com/t/hist/state-of-the-union/2.html,C:\Users\Sri Vishnu theja\Parse\2.txt
George Washington,October-25-1791,http://www.infoplease.com/t/hist/state-of-the-union/3.html,C:\Users\Sri Vishnu theja\Parse\3.txt
George Washington,November-6-1792,http://www.infoplease.com/t/hist/state-of-the-union/4.html,C:\Users\Sri Vishnu theja\Parse\4.txt
George Washington,December-3-1793,http://www.infoplease.com/t/hist/state-of-the-union/5.html,C:\Users\Sri Vishnu theja\Parse\5.txt
George Washington,November-19-1794,http://www.infoplease.com/t/hist/state-of-the-union/6.html,C:\Users\Sri Vishnu theja\Parse\6.txt
